knot,time,mode,leg,active,z,vz,z_next,vz_next,fx,fy,fz,sum_fz,vertical_accel,dyn_z_residual,dyn_vz_residual,z_error,inactive_force_norm,knot_pass
2,0.16,trot_FR_RL,RR,0,0.26581512820206893,-2.7251516537916468e-06,0.2658153982803602,-2.8444571945142845e-06,0.0,0.0,2.7652206054274267e-11,125.0131487495375,-5.974086644044974e-06,3.245813243626123e-07,1.7619215826174952e-10,9.888432862537044e-07,2.7652206054274267e-11,True
2,0.16,trot_FR_RL,RL,1,0.26581512820206893,-2.7251516537916468e-06,0.2658153982803602,-2.8444571945142845e-06,0.0,0.0,62.5065743747411,125.0131487495375,-5.974086644044974e-06,3.245813243626123e-07,1.7619215826174952e-10,9.888432862537044e-07,2.7652206054274267e-11,True
3,0.18,trot_FR_RL,FR,1,0.2658153982803602,-2.8444571945142845e-06,0.26581563901358185,-2.4769123791610392e-06,0.0,0.0,62.50672945711248,125.01345891430137,1.8365068964243392e-05,2.9762236552504474e-07,2.4343606837740066e-10,1.2589215775404838e-06,3.820567677904179e-11,True
3,0.18,trot_FR_RL,FL,0,0.2658153982803602,-2.8444571945142845e-06,0.26581563901358185,-2.4769123791610392e-06,0.0,0.0,3.820567677904179e-11,125.01345891430137,1.8365068964243392e-05,2.9762236552504474e-07,2.4343606837740066e-10,1.2589215775404838e-06,3.820567677904179e-11,True
3,0.18,trot_FR_RL,RR,0,0.2658153982803602,-2.8444571945142845e-06,0.26581563901358185,-2.4769123791610392e-06,0.0,0.0,3.820567677904179e-11,125.01345891430137,1.8365068964243392e-05,2.9762236552504474e-07,2.4343606837740066e-10,1.2589215775404838e-06,3.820567677904179e-11,True
3,0.18,trot_FR_RL,RL,1,0.2658153982803602,-2.8444571945142845e-06,0.26581563901358185,-2.4769123791610392e-06,0.0,0.0,62.50672945711248,125.01345891430137,1.8365068964243392e-05,2.9762236552504474e-07,2.4343606837740066e-10,1.2589215775404838e-06,3.820567677904179e-11,True
4,0.2,trot_FL_RR,FR,0,0.26581563901358185,-2.4769123791610392e-06,0.26581585495963034,-2.011071427802971e-06,0.0,0.0,1.791864502512777e-11,125.01352162824932,2.3286338935335493e-05,2.6548429607062395e-07,1.141726513583429e-10,1.499654799175243e-06,1.791864502512777e-11,True
4,0.2,trot_FL_RR,FL,1,0.26581563901358185,-2.4769123791610392e-06,0.26581585495963034,-2.011071427802971e-06,0.0,0.0,62.50676081410674,125.01352162824932,2.3286338935335493e-05,2.6548429607062395e-07,1.141726513583429e-10,1.499654799175243e-06,1.791864502512777e-11,True
4,0.2,trot_FL_RR,RR,1,0.26581563901358185,-2.4769123791610392e-06,0.26581585495963034,-2.011071427802971e-06,0.0,0.0,62.50676081410674,125.01352162824932,2.3286338935335493e-05,2.6548429607062395e-07,1.141726513583429e-10,1.499654799175243e-06,1.791864502512777e-11,True
4,0.2,trot_FL_RR,RL,0,0.26581563901358185,-2.4769123791610392e-06,0.26581585495963034,-2.011071427802971e-06,0.0,0.0,1.791864502512777e-11,125.01352162824932,2.3286338935335493e-05,2.6548429607062395e-07,1.141726513583429e-10,1.499654799175243e-06,1.791864502512777e-11,True
