step,time,base_x,base_y,base_z,roll,pitch,yaw,torque_norm,torque_max_abs,torque_saturation,n_contact,contact_pairs
12,0.02600000000000001,-0.00013240821259043864,1.3260183134143468e-06,0.28325170837340574,-0.0002139128450493452,0.0007866504619193382,-3.6942651067627966e-06,28.818138601481316,13.416852887739498,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
13,0.02800000000000001,-0.0001613068509224536,1.5248152650336363e-06,0.28301346859281146,-0.00024130779384437726,0.0005264838490427261,-3.75057851339545e-06,18.28461051874487,8.026533404113996,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
14,0.030000000000000013,-0.00014539287321196112,1.804001812847178e-06,0.2827057914076315,-0.0002762862671680769,0.0006910174550289021,-4.424584069801151e-06,34.03317078116509,15.420023379335152,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
15,0.032000000000000015,-0.0001738849670387617,1.9726569468974073e-06,0.28243640556509036,8.752099372033298e-05,0.0006235431619762275,2.6623062045778745e-05,17.119867072704114,7.975379890103557,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
16,0.034000000000000016,-0.00015747064742569142,6.3753988847652474e-06,0.2820638377916682,0.00039443102279967685,0.0009723618593370722,5.447491406942027e-05,34.20729413634629,15.831449788362216,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
17,0.03600000000000002,-0.00018532671379874934,1.0148276702609068e-05,0.28173126701253376,0.0007067308813626234,0.00029720321624505334,7.491747125838331e-05,19.31745183472714,8.668292916431755,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
18,0.03800000000000002,-0.00017571342571475935,1.273653980045053e-05,0.28125965975604317,0.0009502602267856998,0.0004746793475709344,9.046742032945374e-05,32.27851043501257,16.440998480965142,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
19,0.04000000000000002,-0.00020375612095732167,1.4569512018711066e-05,0.2808836059519904,0.0004939846530459314,-8.28683582990846e-05,0.00015134115566286087,18.541824546553855,8.599711830959622,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
20,0.04200000000000002,-0.00017616609999727886,2.6102130246519098e-05,0.28047693710004984,0.0007754814031993438,2.187865365088257e-06,0.00021684113071366684,30.375925843441877,16.05712592583312,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
21,0.044000000000000025,-0.00017265403130902666,1.7452338326574108e-05,0.2800517600437352,-0.0022765691877084083,-0.0008031691477071283,0.00030247016369011983,18.847723266777162,8.297526485041713,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
22,0.04600000000000003,-0.000151418009396166,-1.056195522132904e-05,0.2795728748815334,-0.0002515828458439455,-0.0008633601739216471,0.00034774837534647037,29.0913940533525,16.414684432978184,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
23,0.04800000000000003,-0.00015173235437588228,-3.7007306459448145e-06,0.27912828752867863,-0.002925941049444731,-0.001488914197781597,0.00038691723133617235,26.32736776589992,13.349286967506806,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
24,0.05000000000000003,-0.00013499533671154092,-2.4849888231507645e-05,0.27861208426581824,-0.0004706303065858687,-0.0013831000820160176,0.00037645613739066455,27.825319061826374,16.265327631028747,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
