step,segment_i,segment_step,mode,time,osqp_status,base_z,roll,pitch,base_qdd_z,dyn_res_norm,stance_acc_res_norm,swing_acc_error_norm,tau_pd_max_abs,tau_wbc_max_abs,tau_total_max_abs,cmd_step_jump_norm,cmd_step_jump_abs,saturated
10,0,10,trot_FR_RL,0.022000000,solved,0.284695823244,0.003415231922,-0.002461918362,0.066933326466,6.535691821927e-08,2.518090125204e-09,7.495398176489e-02,8.043424257416,9.349807456622,6.690197811787,0.303854329184,0.194685093514,False
11,0,11,trot_FR_RL,0.024000000,solved,0.284779580305,0.006556022100,-0.003317263365,0.068547641445,6.405812532178e-08,2.504059153287e-09,7.629092231667e-02,10.598872178518,9.489661426406,3.974914944851,0.232440494814,0.175443894654,False
12,0,12,trot_FR_RL,0.026000000,solved,0.284953612485,0.005100013421,-0.004285682956,0.068398769487,6.630542137215e-08,2.536821259488e-09,7.700120116548e-02,10.435546299648,9.604348862083,7.380856294941,0.188210080061,0.114687435677,False
13,0,13,trot_FR_RL,0.028000000,solved,0.285057026355,0.007301084430,-0.005193650355,0.070916293063,6.561905920278e-08,2.541279391019e-09,7.780858497391e-02,11.335486494812,9.678585636817,4.146653522070,0.133213304896,0.106935125872,False
14,0,14,trot_FR_RL,0.030000000,solved,0.285300945872,0.007126562422,-0.005944725711,0.071290264649,6.657045540766e-08,2.518132080743e-09,8.011670965844e-02,10.046859793115,9.736055112764,5.572755854231,0.109353923922,0.059553618568,False
15,0,15,trot_FR_RL,0.032000000,solved,0.285628472820,0.006813091553,-0.006874269843,0.071782336877,6.687725803277e-08,2.568202667726e-09,8.457218586912e-02,9.514008877063,9.778264678606,4.428870512245,0.084001103167,0.066724753659,False
16,0,16,trot_FR_RL,0.034000000,solved,0.286069685906,0.006917993885,-0.007247796845,0.073626189613,6.678018388435e-08,2.552062260420e-09,8.198274279503e-02,10.453169658702,9.800915744016,5.899712666665,0.056673646053,0.041927837719,False
17,0,17,trot_FR_RL,0.036000000,solved,0.286516338491,0.008290652515,-0.008426180161,0.073067727368,6.788121278486e-08,2.601760723413e-09,8.468212687184e-02,10.096956440061,9.819831308929,4.589118723130,0.044253121879,0.034971405532,False
18,0,18,trot_FR_RL,0.038000000,solved,0.287134777262,0.007942873383,-0.008687688850,0.074908498706,6.858355180529e-08,2.596806730053e-09,8.579029566839e-02,10.132472471027,9.827422230924,5.502681418641,0.035139336044,0.019046677832,False
19,0,19,trot_FR_RL,0.040000000,solved,0.287748417188,0.009392922876,-0.009820535544,0.073999220317,6.816508839276e-08,2.607338283589e-09,8.493729394493e-02,10.612110083796,9.831745693334,4.864433430376,0.028208613145,0.020686016355,False
20,0,20,trot_FR_RL,0.042000000,solved,0.288502150949,0.009397813164,-0.010188630291,0.076085771850,6.960686255525e-08,2.633126680361e-09,8.793884829554e-02,10.581203924459,9.829253212115,5.311340320346,0.027297565348,0.014561346321,False
21,0,21,trot_FR_RL,0.044000000,solved,0.289254054995,0.011198115009,-0.011366075988,0.075179256396,6.900781945068e-08,2.632687465420e-09,8.621214720801e-02,10.485244713869,9.825309091831,5.176177525980,0.019578604025,0.009622028723,False
22,0,22,trot_FR_RL,0.046000000,solved,0.290169590731,0.009947816528,-0.011658575658,0.077042073908,7.060400102272e-08,2.666938522008e-09,8.984775114287e-02,10.596324581834,9.817417700078,5.324047013040,0.030512900482,0.016000242752,False
23,0,23,trot_FR_RL,0.048000000,solved,0.291031808536,0.011804092619,-0.012432772555,0.076545925594,6.889865842064e-08,2.635208915937e-09,8.989310769728e-02,11.667836957720,9.805356724292,5.193843777897,0.027828521395,0.016075678372,False
24,0,24,trot_FR_RL,0.050000000,solved,0.292069608688,0.012073014924,-0.012284787144,0.078116047907,7.073536252043e-08,2.656844654345e-09,8.980834166485e-02,9.652554839043,9.795867347471,5.599808866383,0.032833840949,0.018870656771,False
