step,time,base_x,base_y,base_z,roll,pitch,yaw,torque_norm,torque_max_abs,torque_saturation,n_contact,contact_pairs
10,0.022000000000000006,-0.00011175886200620145,4.4142323867636484e-05,0.28381130437808877,0.0017413602227400891,0.0010673425180165858,-0.00035828993189622596,16.928613873163666,6.555771511564485,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
11,0.024000000000000007,-0.00014213510022885483,1.7709999418204397e-05,0.2836297091927252,0.004031416976870234,0.0006362069648178769,-0.000559788300427889,9.475476277110706,4.26025488120574,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
12,0.02600000000000001,-0.00012857933430078178,2.8149614312704903e-05,0.2833174369043823,0.001875753280346031,0.0006643237352892437,-0.000717247408145479,16.38549664603436,6.888000637305901,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
13,0.02800000000000001,-0.00015523106174327733,-1.4929291803616093e-05,0.28310607243497354,0.003316968896097454,0.00021518535895063528,-0.0009665846645460029,11.71262721530117,7.189734701408192,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
14,0.030000000000000013,-0.00013820615000843112,-2.339946471708829e-05,0.2827644293534023,0.0003466336829991446,0.00020081846745840596,-0.0011866153196600094,15.18107939138404,6.878109533325763,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
15,0.032000000000000015,-0.00016345295832704838,-8.818623938471675e-05,0.282532529812843,-0.0006721800566022951,-0.00010181355822900027,-0.0016224690810884962,11.3931883959721,5.477720092802981,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
16,0.034000000000000016,-0.00014910523343872225,-0.0001326299216699165,0.2821205150228427,-0.003479049204331941,3.35817029424145e-07,-0.001728188574913145,13.712435313486807,6.88078785357476,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
17,0.03600000000000002,-0.00017770017764615404,-0.00020419456501577206,0.2818400067186553,-0.006155614133048809,-0.00041418556776266145,-0.0014408529848158314,9.681343853178506,4.595445482902251,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
18,0.03800000000000002,-0.00016535514580929173,-0.0002762556674947928,0.2814201566911642,-0.008517481868005931,-0.0004446965509822019,-0.0016316477946298296,14.54833664305795,7.478900179673542,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
19,0.04000000000000002,-0.00020076931051547195,-0.0003525931800152133,0.28110998169909557,-0.010287633785653649,-0.0009575222800110258,-0.0019819724546839067,8.75151399296175,4.8378994948543195,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
20,0.04200000000000002,-0.00017258249139935638,-0.00045929356850804635,0.2807560602019363,-0.012688039722596158,-0.0010241656902394492,-0.002328680813247488,10.783576072455533,6.677043231394195,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
21,0.044000000000000025,-0.0001686174112495768,-0.0005563091125785439,0.2804565376582731,-0.012541172834108228,-0.0016814967290844794,-0.002928431920847248,13.45586570131755,6.917411079821031,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
