wbc_torque_scale,swing_pd_torque_scale,target_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.5,0.25,0.45,1200,5,600,600,0.284805846483,0.322027455556,0.284805846483,0.359270039462,0.037221609073,-0.223062883642,-0.100017289663,0.309392020697,-0.109392020697,0.216977471377,-0.016977471377,0.064805846483,0.301965082623,0.286522431398,0.301965082623,5.634986608810,7.963993805798,5.161671860171,5.161671860171,6.534193746307,3.399777497718,1.674539776714e-07,5.432563177675e-09,1.326513101048e+00,0,0,False,False,False
0.5,0.25,0.6,1200,5,600,600,0.284805846483,0.328989892390,0.284805846483,0.356448865984,0.044184045907,0.322019224082,0.086419959833,0.322019224082,-0.122019224082,0.126950408596,0.073049591404,0.064805846483,0.301192717991,0.289721689822,0.301192717991,5.545027872974,7.599698975055,5.015193769188,5.015193769188,6.516950782997,3.506510366652,1.828790535309e-07,5.568249390897e-09,1.071607306668e+00,0,0,False,False,False
0.5,0.5,0.45,1200,5,600,600,0.284805846483,0.301704333218,0.284510061243,0.318790609364,0.016898486735,-0.107222803994,-0.065160931693,0.140706481639,0.059293518361,0.083748071159,0.116251928841,0.064510061243,0.147568062314,0.142423933674,0.147568062314,5.248816345780,9.867630668110,6.555727621840,6.555727621840,13.263838713126,6.052603211036,1.024196539179e-07,3.716198268897e-09,6.041059172990e-01,0,0,False,False,False
0.5,0.5,0.6,1200,5,600,600,0.284805846483,0.305616790911,0.284514134247,0.337908867640,0.020810944428,-0.129131957133,-0.077540542490,0.187232986840,0.012767013160,0.123588532433,0.076411467567,0.064514134247,0.151116508388,0.141704868900,0.151116508388,5.856979294532,9.950045329812,6.620416311690,6.620416311690,13.335842552301,6.126116250162,1.282518256114e-07,4.815866727778e-09,9.355427818466e-01,0,0,False,False,False
0.5,0.75,0.45,1200,5,600,600,0.284805846483,0.292454650835,0.283795925730,0.301154298683,0.007648804351,0.030899532892,0.003619538087,0.123666028020,0.076333971980,0.074085447976,0.125914552024,0.063795925730,0.101080010489,0.094648558520,0.101080010489,5.327008807832,12.475799375054,9.137809973509,9.137809973509,19.562287161291,8.480996254163,9.945072526499e-08,3.980589371768e-09,5.521648072541e-01,0,0,False,False,False
0.5,0.75,0.6,1200,5,600,600,0.284805846483,0.296190986977,0.283672769575,0.301864855186,0.011385140493,-0.087365923620,-0.056232992618,0.138518230555,0.061481769445,0.094422606617,0.105577393383,0.063672769575,0.098421087464,0.097470257787,0.098421087464,5.281962399892,11.763591833668,9.234543816577,9.234543816577,19.402152162240,8.472222456065,8.880707556160e-08,3.515708897959e-09,7.379756807625e-01,0,0,False,False,False
0.75,0.25,0.45,1200,5,600,600,0.284805846483,0.074013302690,0.061508329074,0.378654508347,-0.210792543793,-2.841043086855,-0.039981074870,3.138252100892,-2.938252100892,0.230167340102,-0.030167340102,-0.158491670926,0.404095298890,0.400155991969,0.404095298890,13.038564720906,10.993225752572,11.159931383253,11.159931383253,7.533567298296,3.604949024864,2.153538426322e-06,1.330962864221e-07,6.831956755241e+00,0,0,False,False,False
0.75,0.25,0.6,1200,5,600,600,0.284805846483,0.121253702568,0.076578043688,0.380254934795,-0.163552143915,-2.272336309646,0.006236914605,3.139442703853,-2.939442703853,0.253502399923,-0.053502399923,-0.143421956312,0.451189428823,0.426235286766,0.451189428823,11.790680504693,10.353947944449,8.005889236678,8.005889236678,7.210106470429,3.682134420241,1.989486285576e-06,9.175827387637e-08,8.800566440620e+00,0,0,False,False,False
0.75,0.5,0.45,1200,5,600,600,0.284805846483,0.311645119470,0.284805846483,0.336839391991,0.026839272987,0.010605375610,-0.015154748238,0.217615804941,-0.017615804941,0.142658227334,0.057341772666,0.064805846483,0.204728746835,0.196618858809,0.204728746835,8.218373904295,12.263236459352,6.598796130008,6.598796130008,13.254695276600,6.337123008251,1.250184114064e-07,4.670237239430e-09,8.971246694188e-01,0,0,False,False,False
0.75,0.5,0.6,1200,5,600,600,0.284805846483,0.315796040039,0.284805846483,0.337957363378,0.030990193556,0.034079103565,0.036163174710,0.243009979659,-0.043009979659,0.156930218305,0.043069781695,0.064805846483,0.209454308841,0.197854016723,0.209454308841,8.913808692478,12.684922624033,6.726164170892,6.726164170892,13.243106338550,6.214493008998,1.385679882060e-07,5.224461181073e-09,1.069036466849e+00,0,0,False,False,False
