step,time,base_x,base_y,base_z,qpos_norm,qvel_norm,ctrl_norm,n_contact,contact_pairs
23,0.04800000000000003,-0.0019739294237958865,-0.0006751113593932651,0.4357879473083244,1.4772493489112837,29.390901367041565,0.5576082719832955,0,
24,0.05000000000000003,-0.002161835972043099,-0.0007243464667689869,0.43494125587215116,1.5295569453373654,27.39707162054702,0.5622946521969951,0,
25,0.05200000000000003,-0.0023513952642485038,-0.0007739383902400268,0.43406144573687283,1.5775587348722835,25.4370780660493,0.5671142980999463,0,
26,0.054000000000000034,-0.0025412605135736524,-0.0008238018289266982,0.43314902459950516,1.6213778510351549,23.54763419904491,0.5720608363688795,0,
27,0.056000000000000036,-0.002730159772439582,-0.0008738643217023385,0.43220427956034535,1.6611889845528416,21.75448614543682,0.5771279207527273,0,
28,0.05800000000000004,-0.002916920274793301,-0.0009240657862993812,0.4312273109948832,1.6972014727565798,20.074465024315558,0.5823092463379808,0,
29,0.06000000000000004,-0.003100484723706401,-0.000974357668659565,0.43021806663419315,1.7296460728404128,18.517330935863164,0.5875985623416141,0,
30,0.06200000000000004,-0.003279921174659366,-0.0010247016588859914,0.42917637383557355,1.7587647498847523,17.087358958949928,0.5929896834827489,0,
31,0.06400000000000004,-0.0034544278399713294,-0.0010750680227220562,0.4281019687752989,1.7848029184548775,15.784662780806888,0.5984764999952112,0,
32,0.06600000000000004,-0.003623333886709089,-0.0011254336597745517,0.42699452191071435,1.8080036654005933,14.606274467315874,0.6040529863515272,0,
33,0.06800000000000005,-0.003786097104675662,-0.0011757800314642901,0.42585365951404136,1.8286035579763893,13.54700947469204,0.6097132087749255,0,
34,0.07000000000000005,-0.003942299168456665,-0.0012260911074300298,0.4246789813874055,1.8468330070670116,12.58521349539272,0.6154513316198459,1,floor<->FR
35,0.07200000000000005,-0.004091401327727388,-0.0012762810047270705,0.42347039113407264,1.8629279636598057,11.73215780019086,0.6212616227035447,1,floor<->FR
36,0.07400000000000005,-0.004233240516319482,-0.0013263298974827387,0.42222746833568986,1.877108274850251,10.976115340473582,0.6271384576719281,1,floor<->FR
37,0.07600000000000005,-0.004367763655758135,-0.0013762198388700088,0.42094984062192564,1.889572285201372,10.304381279108483,0.6330763234819563,1,floor<->FR
38,0.07800000000000006,-0.004495018590304392,-0.0014259297474644907,0.4196372082792608,1.900185337086324,9.657197126037694,0.6390698210811162,1,floor<->FR
