path,hit_count,category_count,categories,likely_role,role_score
scripts/stage21_3_local_robustness_analysis.py,202,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage22_3_observable_robustness_analysis.py,196,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage17_1_validate_conservative_closed_loop_rollout.py,195,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage07_online_full_wbc_plus_swing_joint_tracking_proto.py,192,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_online_full_wbc_plus_swing_joint_tracking_sweep.py,190,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_swing_tracking_stability_sweep.py,190,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage14_5c_mpc_force_reference_offline_qp_check.py,190,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage14_5d_r2_derive_closed_loop_ab_runner_skeleton.py,189,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage14_5e_r0_candidate_robustness_envelope_preflight.py,183,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage13_2b_r1_derive_contact_schedule_and_rerun_2400step.py,180,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage14_5f_r2_final_simulation_only_milestone_freeze.py,180,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage14_5d_r3_baseline_mode_derived_runner_dry_run.py,178,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage18_3_velocity_comparison_analysis.py,174,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage14_5f_r1_simulation_only_milestone_release_note_draft.py,172,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage15_6_real_model_jacobian_candidate_rollout.py,172,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage09_python_baseline_ros2_field_mapping.py,169,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage10_0_11_full_no_publisher_controller_freeze.py,164,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage08_adapter_backed_stage07_baseline_ab_test.py,162,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage15_7_mujoco_candidate_compatibility_audit.py,160,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage07_swing_joint_target_tracking_with_wbc_test.py,158,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage15_8_mujoco_torque_smoke_test.py,158,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
