step,contact_FR,contact_FL,contact_RR,contact_RL,desired_ax,desired_ay,desired_az,jacobian_norm_step,tau_candidate_max_abs,alpha_0_10_tau_max_abs,alpha_0_20_tau_max_abs
400,1,0,0,1,0.1469463130731183,0.07608452130361229,0.0337731170200806,0.5077185545506103,9.652733608171522,0.983979372430523,1.967958744861046
420,1,0,0,1,0.1204384185254289,0.07748665289029048,0.03480735018678103,0.5045223344410104,9.717085355036874,0.983979372430523,1.967958744861046
440,1,0,0,1,0.09203113817116954,0.07858298005829509,0.035753656966050554,0.5011957875319372,9.724880475128884,0.983979372430523,1.967958744861046
460,1,0,0,1,0.062172471791213706,0.07936917610515823,0.0366096469048367,0.49786435982051813,9.675609030598482,0.983979372430523,1.967958744861046
480,1,0,0,1,0.031333308391076134,0.07984213827426173,0.037373157698264485,0.49467260560736115,9.569497083201842,0.983979372430523,1.967958744861046
500,1,0,0,1,3.061616997868383e-17,0.08,0.038042260651806145,0.4919447865986684,9.407676906428495,0.983979372430523,1.967958744861046
520,1,0,0,1,-0.03133330839107607,0.07984213827426173,0.03861526555333095,0.49507370385279625,9.21258436831931,0.983979372430523,1.967958744861046
540,1,0,0,1,-0.062172471791213754,0.07936917610515823,0.03909072494272774,0.49857227633674944,9.371822836399163,0.983979372430523,1.967958744861046
560,1,0,0,1,-0.09203113817116958,0.07858298005829509,0.039467437768314725,0.5022541089395705,9.479732865715095,0.983979372430523,1.967958744861046
580,1,0,0,1,-0.12043841852542875,0.0774866528902905,0.03974445242080034,0.5059294689805731,9.533720090654908,0.983979372430523,1.967958744861046
600,0,1,1,0,-0.14694631307311826,0.07608452130361229,0.039921069137130866,0.5195666820689202,8.010767985758966,0.983979372430523,1.967958744861046
620,0,1,1,0,-0.17113677648217218,0.07438211887106011,0.039996841768152644,0.5184387178230062,8.32131148817331,0.983979372430523,1.967958744861046
640,0,1,1,0,-0.19262831069394734,0.07238616419728156,0.03997157890562357,0.5168419570364904,8.61054283254154,0.983979372430523,1.967958744861046
660,0,1,1,0,-0.21108198137550382,0.07010453440350908,0.0398453443657269,0.5148101767813573,8.86749472266303,0.983979372430523,1.967958744861046
680,0,1,1,0,-0.22620676311650495,0.0675462340401612,0.039618457027866046,0.5123813443259435,9.083555417163952,0.983979372430523,1.967958744861046
700,0,1,1,0,-0.23776412907378838,0.06472135954999579,0.039291490029147544,0.5096036994804571,9.252457513474141,0.983979372430523,1.967958744861046
720,0,1,1,0,-0.24557181268217218,0.06164105942206314,0.03886526931658696,0.5065422494823448,9.37003078298544,0.983979372430523,1.967958744861046
740,0,1,1,0,-0.2495066821070679,0.05831749019371291,0.03834087156069504,0.5032839006477124,9.433827878693217,0.983979372430523,1.967958744861046
760,0,1,1,0,-0.2495066821070679,0.05476376847429511,0.037719621435714584,0.49993965703477755,9.44275031785804,0.983979372430523,1.967958744861046
780,0,1,1,0,-0.24557181268217218,0.05099391917989519,0.03700308827337832,0.4966428692425675,9.396789400147624,0.983979372430523,1.967958744861046
800,1,0,0,1,-0.2377641290737884,0.04702282018339786,0.03619308209864078,0.5164930794933409,7.078969080249561,0.983979372430523,1.967958744861046
820,1,0,0,1,-0.2262067631165049,0.042866143598319736,0.03529164905739813,0.5177509217135244,6.779363626155514,0.983979372430523,1.967958744861046
840,1,0,0,1,-0.21108198137550388,0.03854029392813725,0.034301066247746086,0.5192001609795533,6.7426440945114035,0.983979372430523,1.967958744861046
