kp,kd,target_scale,total_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_raw_abs,max_tau_total_abs,saturation_steps,pass,pass_margin,recommended
80.0,4.0,0.9,1200,0.284805846483,0.271642722127,0.262507951737,0.284908336507,-0.013163124356,-0.047745175647,-0.021458693557,0.087998298351,0.112001701649,0.066838381433,0.133161618567,0.042507951737,0.105274612404,0.105274612404,0.100351804551,17.606465153145,17.606465153145,0,False,False,False
80.0,4.0,1.0,1200,0.284805846483,0.270067585763,0.261442902004,0.284908336507,-0.014738260720,-0.054291686100,-0.020988447052,0.102482936609,0.097517063391,0.078431057567,0.121568942433,0.041442902004,0.105331862951,0.104344061775,0.105331862951,19.080667774169,19.080667774169,0,False,False,False
80.0,6.0,0.6,1200,0.284805846483,0.261768148429,0.256589105281,0.284908336507,-0.023037698054,-0.046399374557,-0.000765373603,0.098299140132,0.101700859868,0.049516680299,0.150483319701,0.036589105281,0.131614675587,0.125852248242,0.131614675587,26.229456791679,23.700000000000,164,False,False,False
80.0,6.0,0.75,1200,0.284805846483,0.265632014157,0.258000678435,0.284908336507,-0.019173832326,-0.026194988933,-0.031423873468,0.118287678351,0.081712321649,0.061281446359,0.138718553641,0.038000678435,0.147834751799,0.146168503256,0.147834751799,27.116824450835,23.700000000000,133,False,False,False
80.0,6.0,0.9,1200,0.284805846483,0.261519621421,0.259179353744,0.284908336507,-0.023286225063,-0.051146452472,-0.028011075831,0.087261249878,0.112738750122,0.073141846639,0.126858153361,0.039179353744,0.152909478678,0.146759489539,0.152909478678,26.150791369940,23.700000000000,157,False,False,False
80.0,6.0,1.0,1200,0.284805846483,0.263437821662,0.260017701606,0.284908336507,-0.021368024821,-0.005222570791,-0.016710462462,0.086164262712,0.113835737288,0.093318351403,0.106681648597,0.040017701606,0.162008894725,0.158500220723,0.162008894725,26.533074961520,23.700000000000,140,False,False,False
100.0,2.0,0.6,1200,0.284805846483,0.279258866679,0.271297764622,0.287972656053,-0.005546979804,-0.037340083192,-0.011826715444,0.116433103310,0.083566896690,0.060696401265,0.139303598735,0.051297764622,0.063601221453,0.063601221453,0.030678433010,11.152088345117,11.152088345117,0,True,True,False
100.0,2.0,0.75,1200,0.284805846483,0.281321680599,0.269802396002,0.293639969879,-0.003484165884,0.004956310091,-0.013637421117,0.101583082314,0.098416917686,0.085009786559,0.114990213441,0.049802396002,0.064656989240,0.064656989240,0.038389946117,10.828354925614,10.828354925614,0,True,True,False
100.0,2.0,0.9,1200,0.284805846483,0.278706623531,0.272061956524,0.285181545895,-0.006099222952,-0.024582666439,-0.007203316142,0.123602506045,0.076397493955,0.084270539189,0.115729460811,0.052061956524,0.068122208484,0.068122208484,0.034335026281,11.556103283114,11.556103283114,0,True,True,False
100.0,2.0,1.0,1200,0.284805846483,0.278423867903,0.271460135714,0.289774833230,-0.006381978580,0.007083376198,-0.021092202166,0.138249255841,0.061750744159,0.084421669759,0.115578330241,0.051460135714,0.072290570146,0.072290570146,0.036604707586,11.656784506193,11.656784506193,0,True,True,False
100.0,4.0,0.6,1200,0.284805846483,0.273950819443,0.265616122538,0.284908336507,-0.010855027040,0.001098125635,-0.013154607906,0.072579236982,0.127420763018,0.066168885364,0.133831114636,0.045616122538,0.082081753843,0.082081753843,0.081520000017,17.464734226537,17.464734226537,0,False,False,False
100.0,4.0,0.75,1200,0.284805846483,0.270888737216,0.267621409423,0.284908336507,-0.013917109267,0.011210105985,0.005082865114,0.135853384126,0.064146615874,0.072997321791,0.127002678209,0.047621409423,0.086450696148,0.086450696148,0.079489561295,17.691173471515,17.691173471515,0,False,False,False
100.0,4.0,0.9,1200,0.284805846483,0.271535180360,0.267658900009,0.284908336507,-0.013270666124,-0.040890744871,-0.029074177936,0.115375336588,0.084624663412,0.071871984632,0.128128015368,0.047658900009,0.102548862955,0.102548862955,0.080290141074,20.723982962637,20.723982962637,0,False,False,False
