time,leg,phase,state,contact,swing_phase,foot_x,foot_y,foot_z,foothold_x,foothold_y,foothold_z
0.25,FR,0.5,swing,0,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.25,FL,0.0,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.25,RR,0.0,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.25,RL,0.5,swing,0,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.26,FR,0.52,swing,0,0.040000000000000036,0.18818876799999998,-0.12675,0.028216000000000005,0.2071,-0.12675,0.019
0.26,FL,0.020000000000000018,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.26,RR,0.020000000000000018,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.26,RL,0.52,swing,0,0.040000000000000036,-0.188011232,0.12675,0.028216000000000005,-0.16909999999999997,0.12675,0.019
0.27,FR,0.54,swing,0,0.08000000000000007,0.188445344,-0.12675,0.036664000000000016,0.2071,-0.12675,0.019
0.27,FL,0.040000000000000036,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.27,RR,0.040000000000000036,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.27,RL,0.54,swing,0,0.08000000000000007,-0.18775465599999996,0.12675,0.036664000000000016,-0.16909999999999997,0.12675,0.019
0.28,FR,0.56,swing,0,0.1200000000000001,0.18885513599999998,-0.12675,0.044344000000000015,0.2071,-0.12675,0.019
0.28,FL,0.06000000000000005,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.28,RR,0.06000000000000005,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.28,RL,0.56,swing,0,0.1200000000000001,-0.187344864,0.12675,0.044344000000000015,-0.16909999999999997,0.12675,0.019
0.29,FR,0.58,swing,0,0.15999999999999992,0.189403552,-0.12675,0.05125599999999998,0.2071,-0.12675,0.019
0.29,FL,0.08000000000000007,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.29,RR,0.08000000000000007,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.29,RL,0.58,swing,0,0.15999999999999992,-0.186796448,0.12675,0.05125599999999998,-0.16909999999999997,0.12675,0.019
0.3,FR,0.6,swing,0,0.19999999999999996,0.19007599999999997,-0.12675,0.05739999999999999,0.2071,-0.12675,0.019
0.3,FL,0.10000000000000009,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.3,RR,0.10000000000000009,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.3,RL,0.6,swing,0,0.19999999999999996,-0.18612399999999996,0.12675,0.05739999999999999,-0.16909999999999997,0.12675,0.019
0.31,FR,0.62,swing,0,0.24,0.190857888,-0.12675,0.062776,0.2071,-0.12675,0.019
0.31,FL,0.1200000000000001,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.31,RR,0.1200000000000001,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.31,RL,0.62,swing,0,0.24,-0.185342112,0.12675,0.062776,-0.16909999999999997,0.12675,0.019
0.32,FR,0.64,swing,0,0.28,0.19173462399999996,-0.12675,0.067384,0.2071,-0.12675,0.019
0.32,FL,0.14000000000000012,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.32,RR,0.14000000000000012,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.32,RL,0.64,swing,0,0.28,-0.18446537599999996,0.12675,0.067384,-0.16909999999999997,0.12675,0.019
0.33,FR,0.66,swing,0,0.32000000000000006,0.192691616,-0.12675,0.071224,0.2071,-0.12675,0.019
0.33,FL,0.16000000000000014,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.33,RR,0.16000000000000014,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.33,RL,0.66,swing,0,0.32000000000000006,-0.183508384,0.12675,0.071224,-0.16909999999999997,0.12675,0.019
0.34,FR,0.68,swing,0,0.3600000000000001,0.19371427199999997,-0.12674999999999997,0.074296,0.2071,-0.12675,0.019
0.34,FL,0.18000000000000016,stance,1,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.34,RR,0.18000000000000016,stance,1,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.34,RL,0.68,swing,0,0.3600000000000001,-0.18248572799999996,0.12674999999999997,0.074296,-0.16909999999999997,0.12675,0.019
0.35000000000000003,FR,0.7000000000000001,swing,0,0.40000000000000013,0.194788,-0.12675,0.0766,0.2071,-0.12675,0.019
