stance_wbc_scale,swing_pd_scale,target_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_stance_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.5,0.5,0.6,1200,5,600,600,0.284805846483,0.110423478341,0.059064594909,0.467599780252,-0.174382368142,2.575085473676,0.048055278146,3.141538715560,-2.941538715560,0.572651036893,-0.372651036893,-0.160935405091,1.583312320521,1.570949987110,1.583312320521,7.617222566359,62.996670851657,62.996670851657,23.700000000000,67.863477809622,31.059457144165,5.310917600437e-06,3.987649352915e-07,1.902936170726e+01,0,188,False,False,False
0.5,0.75,0.35,1200,5,600,600,0.284805846483,0.087262811807,0.060120922788,0.467777499676,-0.197543034676,2.906856269611,0.074858996590,3.139879526472,-2.939879526472,0.379826963071,-0.179826963071,-0.159879077212,1.791818282179,1.791818282179,1.698723157582,8.159192843408,118.914161088038,118.914161088038,23.700000000000,67.062894989789,31.429894485079,1.895320040080e-05,5.795114929465e-07,1.402995846694e+01,0,223,False,False,False
0.5,0.75,0.45,1200,5,600,600,0.284805846483,0.110617142845,0.060812198010,0.467738064641,-0.174188703638,2.566730039080,0.052188022522,3.141129489288,-2.941129489288,0.569023223509,-0.369023223509,-0.159187801990,1.605193351657,1.605193351657,1.603336890416,8.430902916168,97.703868106467,97.703868106467,23.700000000000,67.269844912887,32.130902916168,1.876986262425e-05,5.058388919047e-07,2.195333844931e+01,0,190,False,False,False
0.5,0.75,0.6,1200,5,600,600,0.284805846483,0.085572071094,0.055254422365,0.467760618094,-0.199233775389,2.988880519738,0.074913090154,3.140723079308,-2.940723079308,0.438996815683,-0.238996815683,-0.164745577635,1.583625364641,1.583625364641,1.583272370633,8.820092022902,95.488302103516,95.488302103516,23.700000000000,67.864847847940,30.411770904824,5.518861276454e-05,1.352322275412e-06,1.617703675127e+01,0,190,False,False,False
0.5,1.0,0.35,1200,5,600,600,0.284805846483,0.242458143599,0.061360724976,0.468309644463,-0.042347702884,1.890505688812,0.060700143051,3.141418046780,-2.941418046780,0.555992228913,-0.355992228913,-0.158639275024,2.456288970878,1.553052767525,2.456288970878,10.242451289838,130.228559274101,130.228559274101,23.700000000000,67.423595744773,33.341843964683,7.977261654171e-06,3.538917471093e-07,2.843558995899e+01,0,205,False,False,False
0.5,1.0,0.45,1200,5,600,600,0.284805846483,0.084260579753,0.078467705918,0.468541351190,-0.200545266730,3.030142554630,0.048647833122,3.141543639674,-2.941543639674,0.470448933155,-0.270448933155,-0.141532294082,2.022352144087,2.022352144087,1.991076525144,10.191316804776,171.454062925440,171.454062925440,23.700000000000,67.109637166297,32.445492403776,1.530687521806e-05,1.004871967076e-06,2.620658773306e+01,0,236,False,False,False
0.5,1.0,0.6,1200,5,600,600,0.284805846483,0.097403286216,0.067788548663,0.469047307791,-0.187402560268,2.751257634504,0.064101184046,3.141538263776,-2.941538263776,0.414357214202,-0.214357214202,-0.152211451337,1.600173809612,1.600173809612,1.584222331406,8.127144873675,142.937318182902,142.937318182902,23.700000000000,66.936022442694,29.490769072017,1.324267142020e-05,5.162167174500e-07,2.143460128968e+01,0,205,False,False,False
0.75,0.5,0.35,1200,5,600,600,0.284805846483,0.085314076373,0.065932164933,0.461444113468,-0.199491770111,3.020017098157,0.061327216902,3.140285109770,-2.940285109770,0.432707766302,-0.232707766302,-0.154067835067,1.606471681747,1.588002362268,1.606471681747,12.474243828644,69.072036867063,69.072036867063,23.700000000000,64.771279302258,32.980134012917,3.074286692540e-05,7.162614339848e-07,2.441084984611e+01,0,128,False,False,False
0.75,0.5,0.45,1200,5,600,600,0.284805846483,0.107303697724,0.053840247391,0.462283565648,-0.177502148759,2.744480182956,0.111022336979,3.140570699954,-2.940570699954,0.370059636158,-0.170059636158,-0.166159752609,1.964134693488,1.964134693488,1.961272294431,12.416477222040,79.501089017552,79.501089017552,23.700000000000,68.855073501703,32.530878723083,5.928055255015e-06,4.625793560293e-07,1.591817109624e+01,0,178,False,False,False
0.75,0.5,0.6,1200,5,600,600,0.284805846483,0.087298763033,0.066857696955,0.462102126947,-0.197507083451,-3.002229669259,-0.064730067702,3.141086151019,-2.941086151019,0.410384020882,-0.210384020882,-0.153142303045,1.615676018913,1.576367088573,1.615676018913,13.279647324435,62.999605825835,62.999605825835,23.700000000000,68.699998199170,36.351338723007,8.218693656869e-06,3.861749354532e-07,1.700103390853e+01,0,141,False,False,False
0.75,0.75,0.35,1200,5,600,600,0.284805846483,0.086142415527,0.066942506492,0.461623232282,-0.198663430956,-2.988291450949,-0.073058642485,3.141088149110,-2.941088149110,0.407688817484,-0.207688817484,-0.153057493508,1.605686421336,1.575620216179,1.605686421336,12.544568584449,94.097118215379,94.097118215379,23.700000000000,70.998979053138,35.043713591041,5.064365210839e-06,3.527917729931e-07,2.201791604567e+01,0,184,False,False,False
