policy,step,tau12_max_abs,ctrl_max_abs,qpos_finite,qvel_finite,base_z,qvel_max_abs,ncon
jtf_candidate,40,9.350071381880708,0.07827003131447367,1,1,0.24727678726099328,8.688572727731884,0
jtf_candidate,50,9.266421741546838,0.07756979495252843,1,1,0.22912428685505898,3.5448319942095923,0
jtf_candidate,60,9.17090151466477,0.07677018916944175,1,1,0.20671319928343113,1.2083245004790182,0
jtf_candidate,70,9.064159693491302,0.07587664671991547,1,1,0.18046826573887617,1.3971158575838818,0
jtf_candidate,80,8.946972568481028,0.0748956659798131,1,1,0.15043936817828418,1.587242945608057,0
jtf_candidate,90,8.820253287873069,0.07383489097005724,1,1,0.11656106255414742,1.782218159767699,0
jtf_candidate,100,8.685057941985797,0.07270316228864053,1,1,0.07872858643410319,1.981086089450914,0
jtf_candidate,110,8.542587386043104,0.07151053236961825,1,1,0.03693588381263799,2.178418633044807,0
jtf_candidate,120,8.39418423732857,0.07026824034609824,1,1,-0.008800687542598926,2.3754367262680036,0
jtf_candidate,130,8.241324738866046,0.06898864394060321,1,1,-0.05846940449966714,2.5716628396806205,0
jtf_candidate,140,8.085605455339087,0.06768510809578157,1,1,-0.11205633240298254,2.767471201341151,0
jtf_candidate,150,7.928725038786465,0.06637185233390615,1,1,-0.16956124666771533,2.9634611945216593,0
jtf_candidate,160,7.772461553102932,0.06506376093885427,1,1,-0.2309883569237073,3.1596573951425033,0
jtf_candidate,170,7.618646060771207,0.06377616184899217,1,1,-0.29634081299653725,3.355963724050956,0
jtf_candidate,180,7.469133339262789,0.06252458152233778,1,1,-0.36561924874219454,3.552239558603376,0
jtf_candidate,190,7.32577069960432,0.061324483914833,1,1,-0.4388223300065999,3.7484375869196183,0
jtf_candidate,199,7.203498108732945,0.060300932422493556,1,1,-0.5080596429463767,3.924979418997306,0
