mode,target_scale,wbc_scale,kp,kd,num_knots,knot_hold_steps,total_steps,torque_limit,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p15,max_abs_pitch,pitch_margin_to_0p15,z_margin_to_0p22,max_tau_pd_abs,max_tau_wbc_abs,max_tau_total_abs,saturation_steps,max_joint_error,max_swing_joint_error,max_stance_joint_error,min_swing_foot_z,max_swing_foot_z,pass,pass_margin
trot_FR_RL,0.5,0.6,60.0,6.0,9,80,720,23.7,0.284805846483,0.282101306835,0.273793892398,0.285729260550,-0.002704539649,0.078595320280,-0.054091467767,0.220650451592,-0.070650451592,0.145387010529,0.004612989471,0.053793892398,27.799015630508,6.382991401645,23.700000000000,155,0.153435067729,0.153435067729,0.091138261560,0.010187186737,0.072593255711,False,False
trot_FR_RL,0.5,0.6,80.0,2.0,9,80,720,23.7,0.284805846483,0.287877926065,0.284805846483,0.298669148822,0.003072079582,0.044217741644,-0.041274056364,0.225362718472,-0.075362718472,0.126092548276,0.023907451724,0.064805846483,14.691666001280,6.382991401645,11.451075839109,0,0.084284280744,0.081437517560,0.084284280744,0.008674629227,0.099803756656,False,False
trot_FR_RL,0.5,0.6,80.0,4.0,9,80,720,23.7,0.284805846483,0.288854954357,0.281463774253,0.291544271901,0.004049107873,0.044402010778,-0.067132182277,0.176711347317,-0.026711347317,0.125733359916,0.024266640084,0.061463774253,21.275958459313,6.382991401645,21.275958459313,0,0.134066367350,0.134066367350,0.066127462555,0.010178285765,0.076610238030,False,False
trot_FR_RL,0.5,0.6,80.0,6.0,9,80,720,23.7,0.284805846483,0.282626201319,0.269930298301,0.285991840059,-0.002179645165,0.109671934108,-0.057825196748,0.194301057506,-0.044301057506,0.137236466065,0.012763533935,0.049930298301,31.134953030930,6.382991401645,23.700000000000,254,0.162748362388,0.162748362388,0.072823396133,0.008516998103,0.071323651085,False,False
trot_FR_RL,0.75,0.0,60.0,2.0,9,80,720,23.7,0.284805846483,0.274985573110,0.270404295867,0.284894888039,-0.009820273373,-0.006647549445,0.014267501378,0.163329563982,-0.013329563982,0.110986830602,0.039013169398,0.050404295867,11.398307971558,0.000000000000,11.398307971558,0,0.108662725458,0.108662725458,0.034368746569,0.010510750208,0.078510511341,False,False
trot_FR_RL,0.75,0.0,60.0,4.0,9,80,720,23.7,0.284805846483,0.273750229686,0.261241066031,0.284907635414,-0.011055616797,0.032957835488,-0.024667570129,0.200352432345,-0.050352432345,0.145643842770,0.004356157230,0.041241066031,20.014101674948,0.000000000000,20.014101674948,0,0.166345416631,0.166345416631,0.081851707610,0.009690361074,0.065917996505,False,False
trot_FR_RL,0.75,0.0,60.0,6.0,9,80,720,23.7,0.284805846483,0.268179777593,0.251680450513,0.284907635414,-0.016626068891,0.039923124352,-0.031547706297,0.175184323714,-0.025184323714,0.132567239866,0.017432760134,0.031680450513,26.097639411954,0.000000000000,23.700000000000,40,0.165981895482,0.165981895482,0.116392348011,0.008845952169,0.061066550256,False,False
trot_FR_RL,0.75,0.0,80.0,2.0,9,80,720,23.7,0.284805846483,0.276657276018,0.268055079974,0.284896849644,-0.008148570465,-0.000186460636,0.003994092166,0.159406519213,-0.009406519213,0.122941361717,0.027058638283,0.048055079974,11.534867430531,0.000000000000,11.534867430531,0,0.082659692210,0.082659692210,0.032586357843,0.010259222685,0.085915246313,False,False
trot_FR_RL,0.75,0.0,80.0,4.0,9,80,720,23.7,0.284805846483,0.270128022155,0.259902029334,0.284907399243,-0.014677824328,-0.005832611255,0.010367539947,0.199352541335,-0.049352541335,0.128990642690,0.021009357310,0.039902029334,20.981856191829,0.000000000000,20.981856191829,0,0.136977053584,0.136977053584,0.064224761663,0.008632566011,0.084065605449,False,False
trot_FR_RL,0.75,0.0,80.0,6.0,9,80,720,23.7,0.284805846483,0.269906766154,0.258974703332,0.284907399243,-0.014899080329,0.021935254139,-0.026291332194,0.169984295620,-0.019984295620,0.137110354830,0.012889645170,0.038974703332,31.082039996564,0.000000000000,23.700000000000,158,0.162954567862,0.162954567862,0.100437034051,0.009821516900,0.070190905079,False,False
trot_FR_RL,0.75,0.2,60.0,2.0,9,80,720,23.7,0.284805846483,0.278326909844,0.275730193407,0.287070764797,-0.006478936639,0.022174338117,-0.019380030705,0.245476741661,-0.095476741661,0.144759567209,0.005240432791,0.055730193407,11.415042770979,2.127663800548,11.415042770979,0,0.108111934089,0.108111934089,0.049574543955,0.010441604709,0.100408015204,False,False
trot_FR_RL,0.75,0.2,60.0,4.0,9,80,720,23.7,0.284805846483,0.272589345591,0.260274959768,0.284909274708,-0.012216500893,0.047015026165,-0.017054548951,0.246407189567,-0.096407189567,0.129228271906,0.020771728094,0.040274959768,20.366816126982,2.127663800548,20.366816126982,0,0.172994365332,0.172994365332,0.048631094725,0.007021735835,0.075904570888,False,False
trot_FR_RL,0.75,0.2,60.0,6.0,9,80,720,23.7,0.284805846483,0.271638492472,0.255208110412,0.284909274708,-0.013167354011,0.019813307000,-0.045296590352,0.281903149086,-0.131903149086,0.173924480879,-0.023924480879,0.035208110412,27.008856484005,2.127663800548,23.700000000000,137,0.188162860399,0.188162860399,0.100701453452,0.005139002470,0.079872144363,False,False
trot_FR_RL,0.75,0.2,80.0,2.0,9,80,720,23.7,0.284805846483,0.284247625582,0.274925168644,0.285528844006,-0.000558220901,0.028969421109,0.002798477520,0.211197225462,-0.061197225462,0.139719286131,0.010280713869,0.054925168644,11.722369156030,2.127663800548,11.722369156030,0,0.084261707037,0.084261707037,0.033900408304,0.010151815292,0.106455333697,False,False
trot_FR_RL,0.75,0.2,80.0,4.0,9,80,720,23.7,0.284805846483,0.275391733602,0.268539817682,0.284909194081,-0.009414112882,0.031189877014,-0.012238514572,0.239446527121,-0.089446527121,0.161150499056,-0.011150499056,0.048539817682,20.462825768234,2.127663800548,20.462825768234,0,0.130480470771,0.130480470771,0.033401837509,0.009880764023,0.099311242519,False,False
trot_FR_RL,0.75,0.2,80.0,6.0,9,80,720,23.7,0.284805846483,0.274949457716,0.264665223654,0.284909194081,-0.009856388767,0.041948685070,-0.027886530393,0.156255484941,-0.006255484941,0.106841274393,0.043158725607,0.044665223654,28.150832740861,2.127663800548,23.700000000000,195,0.141099064602,0.141099064602,0.071006156309,0.008888371813,0.054107049697,False,False
trot_FR_RL,0.75,0.4,60.0,2.0,9,80,720,23.7,0.284805846483,0.293162920729,0.278835384795,0.294460842671,0.008357074246,0.102948238361,-0.042459400704,0.272323983710,-0.122323983710,0.161601669436,-0.011601669436,0.058835384795,12.892051017188,4.255327601096,11.427449830430,0,0.111313440649,0.111313440649,0.072991083352,0.009966279833,0.120529212444,False,False
